,width,length,height,z,yaw
,mean,mean,mean,mean,
0,0.56721221,0.621124904,1.629531391,2.178802863,0
1,1.996467901,0.812183731,1.688025418,2.246538056,0
2,4.591440318,1.848629789,1.828681636,2.321155091,0
3,5.316040993,1.975089073,1.804683089,2.226568699,0
4,7.432598972,2.364790972,2.928935811,2.875952698,0
5,0.56721221,0.621124904,1.629531391,2.178802863,1.5708
6,1.996467901,0.812183731,1.688025418,2.246538056,1.5708
7,4.591440318,1.848629789,1.828681636,2.321155091,1.5708
8,5.316040993,1.975089073,1.804683089,2.226568699,1.5708
9,7.432598972,2.364790972,2.928935811,2.875952698,1.5708
